Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	NG	SLF	SNG	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	NUCLEAR	CCGT	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_COGEN_WASTE	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	TRUCK_DIESEL	TRUCK_FUEL_CELL	TRUCK_NG	TRUCK_ELEC	NON_ENERGY_OIL	NON_ENERGY_NG	EFFICIENCY	DHN	GRID	MOTORWAYS	ROADS	RAILWAYS	H2_ELECTROLYSIS	H2_NG	H2_BIOMASS	GASIFICATION_SNG	PYROLYSIS	ATM_CCS	INDUSTRY_CCS	SYN_METHANOLATION	SYN_METHANATION	BIOMETHANATION	BIO_HYDROLYSIS	METHANE_TO_METHANOL	SLF_TO_DIESEL	SLF_TO_GASOLINE	SLF_TO_LFO	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	SEASONAL_NG_Pin	SEASONAL_NG_Pout	SEASONAL_H2_Pin	SEASONAL_H2_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	SLF_STO_Pin	SLF_STO_Pout	END_USE	
 1 	 1																			0.000000										0.000000																																		0.000000																																																																																							0.000000	
 1 	 2																			0.000000										0.000000																																		0.000000																																																																																							0.000000	
 1 	 3																			0.000000										0.000000																																		0.000000																																																																																							0.000000	
 1 	 4																			0.000000										0.000000																																		0.000000																																																																																							0.000000	
 1 	 5																			0.000000										0.000000																																		0.000000																																																																																							0.000000	
 1 	 6																			0.000000										0.000000																																		0.000000																																																																																							0.000000	
 1 	 7																			0.000000										0.000000																																		0.000000																																																																																							0.000000	
 1 	 8																			0.009872										-0.009872																																		0.000000																																																																																							0.000000	
 1 	 9																			0.173465										-0.173465																																		0.000000																																																																																							0.000000	
 1 	 10																			0.423263										-0.423263																																		0.000000																																																																																							0.000000	
 1 	 11																			0.744678										-0.743081																																		-0.001597																																																																																							0.000000	
 1 	 12																			1.107611										-1.097944																																		-0.009667																																																																																							0.000000	
 1 	 13																			1.325542										-1.299439																																		-0.026103																																																																																							0.000000	
 1 	 14																			1.332602										-1.293407																																		-0.039195																																																																																							0.000000	
 1 	 15																			0.965955										-0.931485																																		-0.034470																																																																																							0.000000	
 1 	 16																			0.753380										-0.734019																																		-0.019361																																																																																							0.000000	
 1 	 17																			0.559957										-0.559957																																		0.000000																																																																																							0.000000	
 1 	 18																			0.313178										-0.313178																																		0.000000																																																																																							0.000000	
 1 	 19																			0.036736										-0.036736																																		0.000000																																																																																							0.000000	
 1 	 20																			0.000000										0.000000																																		0.000000																																																																																							0.000000	
 1 	 21																			0.000000										0.000000																																		0.000000																																																																																							0.000000	
 1 	 22																			0.000000										0.000000																																		0.000000																																																																																							0.000000	
 1 	 23																			0.000000										0.000000																																		0.000000																																																																																							0.000000	
 1 	 24																			0.000000										0.000000																																		0.000000																																																																																							0.000000	
 2 	 1																			0.000000										0.000000																																		0.000000																																																																																							0.000000	
 2 	 2																			0.000000										0.000000																																		0.000000																																																																																							0.000000	
 2 	 3																			0.000000										0.000000																																		0.000000																																																																																							0.000000	
 2 	 4																			0.000000										0.000000																																		0.000000																																																																																							0.000000	
 2 	 5																			0.000000										0.000000																																		0.000000																																																																																							0.000000	
 2 	 6																			0.007922										-0.007922																																		0.000000																																																																																							0.000000	
 2 	 7																			0.157642										-0.142907																																		-0.014736																																																																																							0.000000	
 2 	 8																			0.477186										-0.430217																																		-0.046970																																																																																							0.000000	
 2 	 9																			0.970396										-0.895291																																		-0.075105																																																																																							0.000000	
 2 	 10																			1.454764										-1.353349																																		-0.101415																																																																																							0.000000	
 2 	 11																			1.801982										-1.683082																																		-0.118900																																																																																							0.000000	
 2 	 12																			2.003330										-1.891235																																		-0.112095																																																																																							0.000000	
 2 	 13																			2.109289										-1.957297																																		-0.151992																																																																																							0.000000	
 2 	 14																			1.959130										-1.854252																																		-0.104878																																																																																							0.000000	
 2 	 15																			1.744287										-1.626613																																		-0.117673																																																																																							0.000000	
 2 	 16																			1.483465										-1.335785																																		-0.147680																																																																																							0.000000	
 2 	 17																			1.161050										-1.088810																																		-0.072240																																																																																							0.000000	
 2 	 18																			0.744465										-0.710702																																		-0.033763																																																																																							0.000000	
 2 	 19																			0.317871										-0.317871																																		0.000000																																																																																							0.000000	
 2 	 20																			0.057218										-0.057218																																		0.000000																																																																																							0.000000	
 2 	 21																			0.000000										0.000000																																		0.000000																																																																																							0.000000	
 2 	 22																			0.000000										0.000000																																		0.000000																																																																																							0.000000	
 2 	 23																			0.000000										0.000000																																		0.000000																																																																																							0.000000	
 2 	 24																			0.000000										0.000000																																		0.000000																																																																																							0.000000	
 3 	 1																			0.000000										0.000000																																		0.000000																																																																																							0.000000	
 3 	 2																			0.000000										0.000000																																		0.000000																																																																																							0.000000	
