Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	NG	SLF	SNG	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	NUCLEAR	CCGT	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_COGEN_WASTE	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	TRUCK_DIESEL	TRUCK_FUEL_CELL	TRUCK_NG	TRUCK_ELEC	NON_ENERGY_OIL	NON_ENERGY_NG	EFFICIENCY	DHN	GRID	MOTORWAYS	ROADS	RAILWAYS	H2_ELECTROLYSIS	H2_NG	H2_BIOMASS	GASIFICATION_SNG	PYROLYSIS	ATM_CCS	INDUSTRY_CCS	SYN_METHANOLATION	SYN_METHANATION	BIOMETHANATION	BIO_HYDROLYSIS	METHANE_TO_METHANOL	SLF_TO_DIESEL	SLF_TO_GASOLINE	SLF_TO_LFO	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	SEASONAL_NG_Pin	SEASONAL_NG_Pout	SEASONAL_H2_Pin	SEASONAL_H2_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	SLF_STO_Pin	SLF_STO_Pout	END_USE	
 1 	 1																				0.026311												-0.026311																																																																																																																						0.000000	
 1 	 2																				0.026298												-0.026298																																																																																																																						0.000000	
 1 	 3																				0.026282												-0.026282																																																																																																																						0.000000	
 1 	 4																				0.026269												-0.026269																																																																																																																						0.000000	
 1 	 5																				0.026256												-0.026256																																																																																																																						0.000000	
 1 	 6																				0.026241												-0.026241																																																																																																																						0.000000	
 1 	 7																				0.026228												-0.026228																																																																																																																						0.000000	
 1 	 8																				0.026212												-0.026212																																																																																																																						0.000000	
 1 	 9																				0.026199												-0.026199																																																																																																																						0.000000	
 1 	 10																				0.026184												-0.026184																																																																																																																						0.000000	
 1 	 11																				0.026171												-0.026171																																																																																																																						0.000000	
 1 	 12																				0.026155												-0.026155																																																																																																																						0.000000	
 1 	 13																				0.026142												-0.026142																																																																																																																						0.000000	
 1 	 14																				0.026127												-0.026127																																																																																																																						0.000000	
 1 	 15																				0.026114												-0.026114																																																																																																																						0.000000	
 1 	 16																				0.026098												-0.026098																																																																																																																						0.000000	
 1 	 17																				0.026085												-0.026085																																																																																																																						0.000000	
 1 	 18																				0.026070												-0.026070																																																																																																																						0.000000	
 1 	 19																				0.026057												-0.026057																																																																																																																						0.000000	
 1 	 20																				0.026041												-0.026041																																																																																																																						0.000000	
 1 	 21																				0.026028												-0.026028																																																																																																																						0.000000	
 1 	 22																				0.026015												-0.026015																																																																																																																						0.000000	
 1 	 23																				0.026000												-0.026000																																																																																																																						0.000000	
 1 	 24																				0.025987												-0.025987																																																																																																																						0.000000	
 2 	 1																				0.035378												-0.035378																																																																																																																						0.000000	
 2 	 2																				0.035437												-0.035437																																																																																																																						0.000000	
 2 	 3																				0.035496												-0.035496																																																																																																																						0.000000	
 2 	 4																				0.035556												-0.035556																																																																																																																						0.000000	
 2 	 5																				0.035617												-0.035617																																																																																																																						0.000000	
 2 	 6																				0.035677												-0.035677																																																																																																																						0.000000	
 2 	 7																				0.035735												-0.035735																																																																																																																						0.000000	
 2 	 8																				0.035795												-0.035795																																																																																																																						0.000000	
 2 	 9																				0.035854												-0.035854																																																																																																																						0.000000	
 2 	 10																				0.035913												-0.035913																																																																																																																						0.000000	
 2 	 11																				0.035973												-0.035973																																																																																																																						0.000000	
 2 	 12																				0.036032												-0.036032																																																																																																																						0.000000	
 2 	 13																				0.036091												-0.036091																																																																																																																						0.000000	
 2 	 14																				0.036150												-0.036150																																																																																																																						0.000000	
 2 	 15																				0.036210												-0.036210																																																																																																																						0.000000	
 2 	 16																				0.036269												-0.036269																																																																																																																						0.000000	
 2 	 17																				0.036328												-0.036328																																																																																																																						0.000000	
 2 	 18																				0.036387												-0.036387																																																																																																																						0.000000	
 2 	 19																				0.036446												-0.036446																																																																																																																						0.000000	
 2 	 20																				0.036506												-0.036506																																																																																																																						0.000000	
 2 	 21																				0.036567												-0.036567																																																																																																																						0.000000	
 2 	 22																				0.036627												-0.036627																																																																																																																						0.000000	
 2 	 23																				0.036685												-0.036685																																																																																																																						0.000000	
 2 	 24																				0.036745												-0.036745																																																																																																																						0.000000	
 3 	 1																				0.062543												-0.062543																																																																																																																						0.000000	
 3 	 2																				0.062487												-0.062487																																																																																																																						0.000000	
 3 	 3																				0.062430												-0.062430																																																																																																																						0.000000	
 3 	 4																				0.062376												-0.062376																																																																																																																						0.000000	
 3 	 5																				0.062320												-0.062320																																																																																																																						0.000000	
 3 	 6																				0.062263												-0.062263																																																																																																																						0.000000	
 3 	 7																				0.062208												-0.062208																																																																																																																						0.000000	
 3 	 8																				0.062152												-0.062152																																																																																																																						0.000000	
 3 	 9																				0.062095												-0.062095																																																																																																																						0.000000	
 3 	 10																				0.062039												-0.062039																																																																																																																						0.000000	
