Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	NG	SLF	SNG	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	NUCLEAR	CCGT	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_COGEN_WASTE	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	TRUCK_DIESEL	TRUCK_FUEL_CELL	TRUCK_NG	TRUCK_ELEC	NON_ENERGY_OIL	NON_ENERGY_NG	EFFICIENCY	DHN	GRID	MOTORWAYS	ROADS	RAILWAYS	H2_ELECTROLYSIS	H2_NG	H2_BIOMASS	GASIFICATION_SNG	PYROLYSIS	ATM_CCS	INDUSTRY_CCS	SYN_METHANOLATION	SYN_METHANATION	BIOMETHANATION	BIO_HYDROLYSIS	METHANE_TO_METHANOL	SLF_TO_DIESEL	SLF_TO_GASOLINE	SLF_TO_LFO	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	SEASONAL_NG_Pin	SEASONAL_NG_Pout	SEASONAL_H2_Pin	SEASONAL_H2_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	SLF_STO_Pin	SLF_STO_Pout	END_USE	
 1 	 1																																																																							0.261653	0.471331	0.007404																																																																													-0.740387	
 1 	 2																																																																							0.104661	0.188532	0.002962																																																																													-0.296155	
 1 	 3																																																																							0.052331	0.094266	0.001481																																																																													-0.148077	
 1 	 4																																																																							0.627968	1.131195	0.017769																																																																													-1.776932	
 1 	 5																																																																							1.674579	3.016518	0.047385																																																																													-4.738482	
 1 	 6																																																																							4.186446	7.541290	0.118462																																																																													-11.846198	
 1 	 7																																																																							8.111231	14.611233	0.229520																																																																													-22.951984	
 1 	 8																																																																							7.064611	12.725894	0.199904																																																																													-19.990409	
 1 	 9																																																																							6.541323	11.783265	0.185097																																																																													-18.509685	
 1 	 10																																																																							7.326299	13.197289	0.207309																																																																													-20.730897	
 1 	 11																																																																							8.372875	15.082547	0.236923																																																																													-23.692346	
 1 	 12																																																																							9.210189	16.590850	0.260617																																																																													-26.061656	
 1 	 13																																																																							8.372875	15.082547	0.236923																																																																													-23.692346	
 1 	 14																																																																							8.477550	15.271105	0.239885																																																																													-23.988541	
 1 	 15																																																																							9.524171	17.156444	0.269501																																																																													-26.950116	
 1 	 16																																																																							9.942828	17.910595	0.281348																																																																													-28.134771	
 1 	 17																																																																							9.942828	17.910595	0.281348																																																																													-28.134771	
 1 	 18																																																																							7.326299	13.197289	0.207309																																																																													-20.730897	
 1 	 19																																																																							5.233058	9.426612	0.148077																																																																													-14.807748	
 1 	 20																																																																							3.924794	7.069959	0.111058																																																																													-11.105811	
 1 	 21																																																																							2.616529	4.713306	0.074039																																																																													-7.403874	
 1 	 22																																																																							1.674579	3.016518	0.047385																																																																													-4.738482	
 1 	 23																																																																							1.046612	1.885322	0.029615																																																																													-2.961550	
 1 	 24																																																																							0.418645	0.754129	0.011846																																																																													-1.184620	
 2 	 1																																																																							0.261653	0.471331	0.007404																																																																													-0.740387	
 2 	 2																																																																							0.104661	0.188532	0.002962																																																																													-0.296155	
 2 	 3																																																																							0.052331	0.094266	0.001481																																																																													-0.148077	
 2 	 4																																																																							0.627968	1.131195	0.017769																																																																													-1.776932	
 2 	 5																																																																							1.674579	3.016518	0.047385																																																																													-4.738482	
 2 	 6																																																																							4.186446	7.541290	0.118462																																																																													-11.846198	
 2 	 7																																																																							8.111231	14.611233	0.229520																																																																													-22.951984	
 2 	 8																																																																							7.064611	12.725894	0.199904																																																																													-19.990409	
 2 	 9																																																																							6.541323	11.783265	0.185097																																																																													-18.509685	
 2 	 10																																																																							7.326299	13.197289	0.207309																																																																													-20.730897	
 2 	 11																																																																							8.372875	15.082547	0.236923																																																																													-23.692346	
 2 	 12																																																																							9.210189	16.590850	0.260617																																																																													-26.061656	
 2 	 13																																																																							8.372875	15.082547	0.236923																																																																													-23.692346	
 2 	 14																																																																							8.477550	15.271105	0.239885																																																																													-23.988541	
 2 	 15																																																																							9.524171	17.156444	0.269501																																																																													-26.950116	
 2 	 16																																																																							9.942828	17.910595	0.281348																																																																													-28.134771	
 2 	 17																																																																							9.942828	17.910595	0.281348																																																																													-28.134771	
 2 	 18																																																																							7.326299	13.197289	0.207309																																																																													-20.730897	
 2 	 19																																																																							5.233058	9.426612	0.148077																																																																													-14.807748	
 2 	 20																																																																							3.924794	7.069959	0.111058																																																																													-11.105811	
 2 	 21																																																																							2.616529	4.713306	0.074039																																																																													-7.403874	
 2 	 22																																																																							1.674579	3.016518	0.047385																																																																													-4.738482	
 2 	 23																																																																							1.046612	1.885322	0.029615																																																																													-2.961550	
 2 	 24																																																																							0.418645	0.754129	0.011846																																																																													-1.184620	
 3 	 1																																																																							0.261653	0.471331	0.007404																																																																													-0.740387	
 3 	 2																																																																							0.104661	0.188532	0.002962																																																																													-0.296155	
 3 	 3																																																																							0.052331	0.094266	0.001481																																																																													-0.148077	
 3 	 4																																																																							0.627968	1.131195	0.017769																																																																													-1.776932	
 3 	 5																																																																							1.674579	3.016518	0.047385																																																																													-4.738482	
