Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	NG	SLF	SNG	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	NUCLEAR	CCGT	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_COGEN_WASTE	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	TRUCK_DIESEL	TRUCK_FUEL_CELL	TRUCK_NG	TRUCK_ELEC	NON_ENERGY_OIL	NON_ENERGY_NG	EFFICIENCY	DHN	GRID	MOTORWAYS	ROADS	RAILWAYS	H2_ELECTROLYSIS	H2_NG	H2_BIOMASS	GASIFICATION_SNG	PYROLYSIS	ATM_CCS	INDUSTRY_CCS	SYN_METHANOLATION	SYN_METHANATION	BIOMETHANATION	BIO_HYDROLYSIS	METHANE_TO_METHANOL	SLF_TO_DIESEL	SLF_TO_GASOLINE	SLF_TO_LFO	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	SEASONAL_NG_Pin	SEASONAL_NG_Pout	SEASONAL_H2_Pin	SEASONAL_H2_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	SLF_STO_Pin	SLF_STO_Pout	END_USE	
 1 	 1							22.164001		0.000000																	-0.698880								-1.792991			-3.309865							-0.878286					-0.244283							-0.512184				-14.875223								-0.005779					-0.004684										-0.202826																			0.361000																																																0.000000	
 1 	 2							26.990871		0.000000																	-6.606110								-1.177852			-2.753113							-0.878286					-0.249177							-0.515277				-14.965046								-0.002312					-0.001874										-0.202826																			0.361000																																																0.000000	
 1 	 3							28.258479		0.000000																	-6.606110								-1.792991			-3.309865							-0.878286					-0.254071							-0.518370				-15.054868								-0.001156					-0.000937										-0.202826																			0.361000																																																0.000000	
 1 	 4							28.096602		0.000000																	-6.606110								-1.792991			-3.027161							-0.878286					-0.258965							-0.521463				-15.144690								-0.013870					-0.011241										-0.202826																			0.361000																																																0.000000	
 1 	 5							27.657037		0.000000																	-6.606110								-1.792991			-2.447934							-0.878286					-0.263858							-0.524555				-15.234513								-0.036987					-0.029976										-0.202826																			0.361000																																																0.000000	
 1 	 6							28.748282		0.000000																	-6.606110								-1.792991			-3.027161							-0.878286					-0.268752							-0.527648				-15.324335								-0.092468					-0.074941										-0.202826																			0.047235																																																0.000000	
 1 	 7							28.275428		0.000000																	-6.606110								-1.792991			-2.447934							-0.878286					-0.263858							-0.524555				-15.234513								-0.179156					-0.145198										-0.202826																			0.000000																																																0.000000	
 1 	 8							28.135766		0.000000																	-6.606110								-1.792991			-2.447934							-0.878286					-0.258965							-0.521463				-15.144690								-0.156039					-0.126463										-0.202826																			0.000000																																																0.000000	
 1 	 9							26.456990		0.000000																	-6.606110								-0.055623			-3.309865							-0.878286					-0.219817							-0.496722				-14.426164								-0.144481					-0.117095										-0.202826																			0.000000																																																0.000000	
 1 	 10							26.776963		0.000000																	-6.606110								-1.792991			-2.447934							-0.878286					-0.190455							-0.478166				-13.887230								-0.161819					-0.131147										-0.202826																			0.000000																																																0.000000	
 1 	 11							20.194156		0.000000																	-0.765714								-1.792991			-2.447934							-0.878286					-0.151304							-0.453424				-13.166861								-0.184935					-0.149882										-0.202826																			0.000000																																																0.000000	
 1 	 12							25.374432		0.000000																	-6.606110								-1.792991			-2.447934							-0.878286					-0.117051							-0.431736				-12.529198								-0.203429					-0.164870										-0.202826																			0.000000																																																0.000000	
 1 	 13							24.637943		0.000000																	-6.606110								-1.792991			-2.447934							-0.878286					-0.082794							-0.410019				-11.882166								-0.184935					-0.149882										-0.202826																			0.000000																																																0.000000	
 1 	 14							24.040663		0.000000																	-6.606110								-1.792991			-2.447934							-0.878286					-0.053432							-0.391408				-11.328674								-0.187247					-0.151755										-0.202826																			0.000000																																																0.000000	
 1 	 15							22.918982		0.000000																	-6.606110								-0.055623			-3.309865							-0.878286					-0.038753							-0.382151				-11.064513								-0.210364					-0.170491										-0.202826																			0.000000																																																0.000000	
 1 	 16							22.952587		0.000000																	-6.606110								-0.055623			-3.309865							-0.878286					-0.038753							-0.382213				-11.081314								-0.219611					-0.177985										-0.202826																			0.000000																																																0.000000	
 1 	 17							24.143002		0.000000																	-6.606110								-1.792991			-2.447934							-0.878286					-0.053432							-0.391570				-11.372257								-0.219611					-0.177985										-0.202826																			0.000000																																																0.000000	
 1 	 18							25.154549		0.000000																	-6.606110								-1.792991			-3.027161							-0.878286					-0.125807							-0.407034				-11.821369								-0.161819					-0.131147										-0.202826																			0.000000																																																0.000000	
 1 	 19							25.094802		0.000000																	-6.606110								-1.792991			-2.447934							-0.878286					-0.171501							-0.425590				-12.360303								-0.115585					-0.093676										-0.202826																			0.000000																																																0.000000	
 1 	 20							21.126563		0.000000																	-1.783961								-1.792991			-3.027161							-0.878286					-0.126838							-0.437962				-12.719592								-0.086689					-0.070257										-0.202826																			0.000000																																																0.000000	
