Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	NG	SLF	SNG	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	NUCLEAR	CCGT	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_COGEN_WASTE	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	TRUCK_DIESEL	TRUCK_FUEL_CELL	TRUCK_NG	TRUCK_ELEC	NON_ENERGY_OIL	NON_ENERGY_NG	EFFICIENCY	DHN	GRID	MOTORWAYS	ROADS	RAILWAYS	H2_ELECTROLYSIS	H2_NG	H2_BIOMASS	GASIFICATION_SNG	PYROLYSIS	ATM_CCS	INDUSTRY_CCS	SYN_METHANOLATION	SYN_METHANATION	BIOMETHANATION	BIO_HYDROLYSIS	METHANE_TO_METHANOL	SLF_TO_DIESEL	SLF_TO_GASOLINE	SLF_TO_LFO	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	SEASONAL_NG_Pin	SEASONAL_NG_Pout	SEASONAL_H2_Pin	SEASONAL_H2_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	SLF_STO_Pin	SLF_STO_Pout	END_USE	
 1 	 1																																																																	0.008329	0.086996		0.018510		0.071262																																																																																-0.185097	
 1 	 2																																																																	0.003332	0.034798		0.007404		0.028505																																																																																-0.074039	
 1 	 3																																																																	0.001666	0.017399		0.003702		0.014252																																																																																-0.037019	
 1 	 4																																																																	0.019990	0.208790		0.044423		0.171030																																																																																-0.444233	
 1 	 5																																																																	0.053308	0.556772		0.118462		0.456079																																																																																-1.184620	
 1 	 6																																																																	0.133270	1.391928		0.296155		1.140197																																																																																-2.961550	
 1 	 7																																																																	0.258210	2.696858		0.573800		2.209128																																																																																-5.737996	
 1 	 8																																																																	0.224892	2.348873		0.499760		1.924077																																																																																-4.997602	
 1 	 9																																																																	0.208234	2.174888		0.462742		1.781557																																																																																-4.627421	
 1 	 10																																																																	0.233223	2.435880		0.518272		1.995349																																																																																-5.182724	
 1 	 11																																																																	0.266539	2.783851		0.592309		2.280388																																																																																-5.923086	
 1 	 12																																																																	0.293194	3.062245		0.651541		2.508434																																																																																-6.515414	
 1 	 13																																																																	0.266539	2.783851		0.592309		2.280388																																																																																-5.923086	
 1 	 14																																																																	0.269871	2.818654		0.599714		2.308897																																																																																-5.997135	
 1 	 15																																																																	0.303189	3.166639		0.673753		2.593949																																																																																-6.737529	
 1 	 16																																																																	0.316516	3.305836		0.703369		2.707972																																																																																-7.033693	
 1 	 17																																																																	0.316516	3.305836		0.703369		2.707972																																																																																-7.033693	
 1 	 18																																																																	0.233223	2.435880		0.518272		1.995349																																																																																-5.182724	
 1 	 19																																																																	0.166587	1.739910		0.370194		1.425246																																																																																-3.701937	
 1 	 20																																																																	0.124940	1.304933		0.277645		1.068934																																																																																-2.776453	
 1 	 21																																																																	0.083294	0.869955		0.185097		0.712623																																																																																-1.850968	
 1 	 22																																																																	0.053308	0.556772		0.118462		0.456079																																																																																-1.184620	
 1 	 23																																																																	0.033317	0.347982		0.074039		0.285049																																																																																-0.740387	
 1 	 24																																																																	0.013327	0.139193		0.029615		0.114020																																																																																-0.296155	
 2 	 1																																																																	0.008329	0.086996		0.018510		0.071262																																																																																-0.185097	
 2 	 2																																																																	0.003332	0.034798		0.007404		0.028505																																																																																-0.074039	
 2 	 3																																																																	0.001666	0.017399		0.003702		0.014252																																																																																-0.037019	
 2 	 4																																																																	0.019990	0.208790		0.044423		0.171030																																																																																-0.444233	
 2 	 5																																																																	0.053308	0.556772		0.118462		0.456079																																																																																-1.184620	
 2 	 6																																																																	0.133270	1.391928		0.296155		1.140197																																																																																-2.961550	
 2 	 7																																																																	0.258210	2.696858		0.573800		2.209128																																																																																-5.737996	
 2 	 8																																																																	0.224892	2.348873		0.499760		1.924077																																																																																-4.997602	
 2 	 9																																																																	0.208234	2.174888		0.462742		1.781557																																																																																-4.627421	
 2 	 10																																																																	0.233223	2.435880		0.518272		1.995349																																																																																-5.182724	
 2 	 11																																																																	0.266539	2.783851		0.592309		2.280388																																																																																-5.923086	
 2 	 12																																																																	0.293194	3.062245		0.651541		2.508434																																																																																-6.515414	
 2 	 13																																																																	0.266539	2.783851		0.592309		2.280388																																																																																-5.923086	
 2 	 14																																																																	0.269871	2.818654		0.599714		2.308897																																																																																-5.997135	
 2 	 15																																																																	0.303189	3.166639		0.673753		2.593949																																																																																-6.737529	
 2 	 16																																																																	0.316516	3.305836		0.703369		2.707972																																																																																-7.033693	
 2 	 17																																																																	0.316516	3.305836		0.703369		2.707972																																																																																-7.033693	
 2 	 18																																																																	0.233223	2.435880		0.518272		1.995349																																																																																-5.182724	
 2 	 19																																																																	0.166587	1.739910		0.370194		1.425246																																																																																-3.701937	
 2 	 20																																																																	0.124940	1.304933		0.277645		1.068934																																																																																-2.776453	
