Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	NG	SLF	SNG	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	NUCLEAR	CCGT	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_COGEN_WASTE	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	TRUCK_DIESEL	TRUCK_FUEL_CELL	TRUCK_NG	TRUCK_ELEC	NON_ENERGY_OIL	NON_ENERGY_NG	EFFICIENCY	DHN	GRID	MOTORWAYS	ROADS	RAILWAYS	H2_ELECTROLYSIS	H2_NG	H2_BIOMASS	GASIFICATION_SNG	PYROLYSIS	ATM_CCS	INDUSTRY_CCS	SYN_METHANOLATION	SYN_METHANATION	BIOMETHANATION	BIO_HYDROLYSIS	METHANE_TO_METHANOL	SLF_TO_DIESEL	SLF_TO_GASOLINE	SLF_TO_LFO	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	SEASONAL_NG_Pin	SEASONAL_NG_Pout	SEASONAL_H2_Pin	SEASONAL_H2_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	SLF_STO_Pin	SLF_STO_Pout	END_USE	
 1 	 1										4.069398																																			-0.111321																-3.958077																																																																																									0.000000	
 1 	 2										4.093298																																			-0.111321																-3.981977																																																																																									0.000000	
 1 	 3										4.117199																																			-0.111321																-4.005877																																																																																									0.000000	
 1 	 4										4.141099																																			-0.111321																-4.029778																																																																																									0.000000	
 1 	 5										4.164999																																			-0.111321																-4.053678																																																																																									0.000000	
 1 	 6										4.188900																																			-0.111321																-4.077579																																																																																									0.000000	
 1 	 7										4.164999																																			-0.111321																-4.053678																																																																																									0.000000	
 1 	 8										4.141099																																			-0.111321																-4.029778																																																																																									0.000000	
 1 	 9										3.949910																																			-0.111321																-3.838589																																																																																									0.000000	
 1 	 10										3.806508																																			-0.111321																-3.695186																																																																																									0.000000	
 1 	 11										3.615304																																			-0.111321																-3.503983																																																																																									0.000000	
 1 	 12										3.447965																																			-0.111321																-3.336644																																																																																									0.000000	
 1 	 13										3.280577																																			-0.111321																-3.169255																																																																																									0.000000	
 1 	 14										3.137106																																			-0.111321																-3.025785																																																																																									0.000000	
 1 	 15										3.065443																																			-0.111321																-2.954122																																																																																									0.000000	
 1 	 16										3.065522																																			-0.111321																-2.954201																																																																																									0.000000	
 1 	 17										3.137310																																			-0.111321																-3.025989																																																																																									0.000000	
 1 	 18										3.256812																																			-0.111321																-3.145491																																																																																									0.000000	
 1 	 19										3.288894																																			0.000000																-3.288894																																																																																									0.000000	
 1 	 20										3.495816																																			-0.111321																-3.384495																																																																																									0.000000	
 1 	 21										3.567518																																			-0.111321																-3.456196																																																																																									0.000000	
 1 	 22										3.663105																																			-0.111321																-3.551784																																																																																									0.000000	
 1 	 23										3.758707																																			-0.111321																-3.647386																																																																																									0.000000	
 1 	 24										3.854308																																			-0.111321																-3.742987																																																																																									0.000000	
 2 	 1										2.632959																																			-0.108850																-2.524109																																																																																									0.000000	
 2 	 2										2.683217																																			-0.111321																-2.571896																																																																																									0.000000	
 2 	 3										2.707117																																			-0.111321																-2.595796																																																																																									0.000000	
 2 	 4										2.754918																																			-0.111321																-2.643597																																																																																									0.000000	
 2 	 5										2.778818																																			-0.111321																-2.667497																																																																																									0.000000	
 2 	 6										2.707117																																			-0.111321																-2.595796																																																																																									0.000000	
 2 	 7										2.341452																																			-0.032524																-2.308928																																																																																									0.000000	
 2 	 8										1.950268																																			0.000000																-1.950268																																																																																									0.000000	
 2 	 9										1.567722																																			0.000000																-1.567722																																																																																									0.000000	
 2 	 10										1.232989																																			0.000000																-1.232989																																																																																									0.000000	
 2 	 11										0.922203																																			0.000000																-0.922203																																																																																									0.000000	
 2 	 12										0.659341																																			0.000000																-0.659341																																																																																									0.000000	
 2 	 13										0.444036																																			0.000000																-0.444036																																																																																									0.000000	
 2 	 14										0.396483																																			0.000000																-0.396483																																																																																									0.000000	
 2 	 15										0.396416																																			0.000000																-0.396416																																																																																									0.000000	
 2 	 16										0.396259																																			0.000000																-0.396259																																																																																									0.000000	
 2 	 17										0.396599																																			0.000000																-0.396599																																																																																									0.000000	
 2 	 18										0.468553																																			0.000000																-0.468553																																																																																									0.000000	
 2 	 19										0.707725																																			0.000000																-0.707725																																																																																									0.000000	
 2 	 20										0.970622																																			0.000000																-0.970622																																																																																									0.000000	
 2 	 21										1.257419																																			0.000000																-1.257419																																																																																									0.000000	
 2 	 22										1.544215																																			0.000000																-1.544215																																																																																									0.000000	
 2 	 23										1.831011																																			0.000000																-1.831011																																																																																									0.000000	
 2 	 24										2.229123																																			-0.111321																-2.117802																																																																																									0.000000	
 3 	 1										1.090120																																			0.000000																-1.090120																																																																																									0.000000	
 3 	 2										1.329117																																			0.000000																-1.329117																																																																																									0.000000	
 3 	 3										1.448616																																			0.000000																-1.448616																																																																																									0.000000	
