Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	NG	SLF	SNG	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	NUCLEAR	CCGT	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_COGEN_WASTE	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	TRUCK_DIESEL	TRUCK_FUEL_CELL	TRUCK_NG	TRUCK_ELEC	NON_ENERGY_OIL	NON_ENERGY_NG	EFFICIENCY	DHN	GRID	MOTORWAYS	ROADS	RAILWAYS	H2_ELECTROLYSIS	H2_NG	H2_BIOMASS	GASIFICATION_SNG	PYROLYSIS	ATM_CCS	INDUSTRY_CCS	SYN_METHANOLATION	SYN_METHANATION	BIOMETHANATION	BIO_HYDROLYSIS	METHANE_TO_METHANOL	SLF_TO_DIESEL	SLF_TO_GASOLINE	SLF_TO_LFO	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	SEASONAL_NG_Pin	SEASONAL_NG_Pout	SEASONAL_H2_Pin	SEASONAL_H2_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	SLF_STO_Pin	SLF_STO_Pout	END_USE	
 1 	 1																																																						0.366834		0.233383				13.261534	3.332543	16.128289	0.000000																																																																																							-33.322584	
 1 	 2																																																						0.369049		0.234793				13.341613	3.352666	16.225678	0.000000																																																																																							-33.523799	
 1 	 3																																																						0.371264		0.236202				13.421691	3.372789	16.323067	0.000000																																																																																							-33.725013	
 1 	 4																																																						0.373479		0.237611				13.501769	3.392912	16.420456	0.000000																																																																																							-33.926228	
 1 	 5																																																						0.375695		0.239021				13.581848	3.413035	16.517845	0.000000																																																																																							-34.127443	
 1 	 6																																																						0.377910		0.240430				13.661926	3.433158	16.615234	0.000000																																																																																							-34.328657	
 1 	 7																																																						0.375695		0.239021				13.581848	3.413035	16.517845	0.000000																																																																																							-34.127443	
 1 	 8																																																						0.373479		0.237611				13.501769	3.392912	16.420456	0.000000																																																																																							-33.926228	
 1 	 9																																																						0.355760		0.226338				12.861190	3.231938	15.641402	0.000000																																																																																							-32.316629	
 1 	 10																																																						0.342470		0.217882				12.380721	3.111199	15.057069	0.000000																																																																																							-31.109341	
 1 	 11																																																						0.324749		0.206608				11.738498	2.950214	14.277958	0.001597																																																																																							-29.499624	
 1 	 12																																																						0.309245		0.196726				11.170010	2.809321	13.596271	0.009667																																																																																							-28.091240	
 1 	 13																																																						0.293739		0.186830				10.593169	2.668387	12.914509	0.026103																																																																																							-26.682737	
 1 	 14																																																						0.280448		0.178350				10.099721	2.547590	12.330145	0.039195																																																																																							-25.475449	
 1 	 15																																																						0.273804		0.174132				9.864217	2.487253	12.038047	0.034470																																																																																							-24.871923	
 1 	 16																																																						0.273804		0.174161				9.879195	2.487319	12.038083	0.019361																																																																																							-24.871923	
 1 	 17																																																						0.280448		0.178424				10.138576	2.547762	12.330239	0.000000																																																																																							-25.475449	
 1 	 18																																																						0.291524		0.185470				10.538967	2.648378	12.817183	0.000000																																																																																							-26.481522	
 1 	 19																																																						0.304814		0.193926				11.019437	2.769117	13.401516	0.000000																																																																																							-27.688810	
 1 	 20																																																						0.313675		0.199563				11.339750	2.849610	13.791072	0.000000																																																																																							-28.493669	
 1 	 21																																																						0.320320		0.203791				11.579985	2.909979	14.083238	0.000000																																																																																							-29.097313	
 1 	 22																																																						0.329179		0.209427				11.900251	2.990460	14.472736	0.000000																																																																																							-29.902053	
 1 	 23																																																						0.338039		0.215064				12.220564	3.070953	14.862292	0.000000																																																																																							-30.706912	
 1 	 24																																																						0.346900		0.220701				12.540877	3.151446	15.251847	0.000000																																																																																							-31.511771	
 2 	 1																																																						0.233934		0.148831				8.457026	2.125199	10.285187	0.000000																																																																																							-21.250178	
 2 	 2																																																						0.238363		0.151649				8.617136	2.165434	10.479908	0.000000																																																																																							-21.652489	
 2 	 3																																																						0.240578		0.153058				8.697214	2.185557	10.577297	0.000000																																																																																							-21.853703	
 2 	 4																																																						0.245008		0.155877				8.857370	2.225803	10.772074	0.000000																																																																																							-22.256133	
 2 	 5																																																						0.247223		0.157286				8.937449	2.245926	10.869463	0.000000																																																																																							-22.457347	
 2 	 6																																																						0.240578		0.153058				8.697214	2.185557	10.577297	0.000000																																																																																							-21.853703	
 2 	 7																																																						0.213998		0.136148				7.721686	1.944026	9.408652	0.014736																																																																																							-19.439246	
 2 	 8																																																						0.180773		0.114921				6.488632	1.642048	7.947800	0.046970																																																																																							-16.421144	
 2 	 9																																																						0.145333		0.092321				5.179512	1.319960	6.389540	0.075105																																																																																							-13.201769	
 2 	 10																																																						0.114322		0.072542				4.032366	1.038128	5.026073	0.101415																																																																																							-10.384846	
 2 	 11																																																						0.085527		0.054189				2.974049	0.776458	3.760016	0.118900																																																																																							-7.769139	
 2 	 12																																																						0.061162		0.038700				2.099957	0.555139	2.688784	0.112095																																																																																							-5.555837	
